Size,NaiveCost,RecursiveCost,IterativeCost
2,1,1,0
3,3,3,0
4,5,4,0
5,7,6,0
6,9,8,0
7,11,9,0
8,13,10,0
9,15,12,0
10,17,14,0
11,19,16,0
12,21,18,0
13,23,19,0
14,25,20,0
15,27,21,0
16,29,22,0
17,31,24,0
18,33,26,0
19,35,28,0
20,37,30,0
21,39,32,0
22,41,34,0
23,43,36,0
24,45,38,0
25,47,39,0
26,49,40,0
27,51,41,0
28,53,42,0
29,55,43,0
30,57,44,0
31,59,45,0
32,61,46,0
33,63,48,0
34,65,50,0
35,67,52,0
36,69,54,0
37,71,56,0
38,73,58,0
39,75,60,0
40,77,62,0
41,79,64,0
42,81,66,0
43,83,68,0
44,85,70,0
45,87,72,0
46,89,74,0
47,91,76,0
48,93,78,0
49,95,79,0
50,97,80,0
51,99,81,0
52,101,82,0
53,103,83,0
54,105,84,0
55,107,85,0
56,109,86,0
57,111,87,0
58,113,88,0
59,115,89,0
60,117,90,0
61,119,91,0
62,121,92,0
63,123,93,0
64,125,94,0
65,127,96,0
66,129,98,0
67,131,100,0
68,133,102,0
69,135,104,0
70,137,106,0
71,139,108,0
72,141,110,0
73,143,112,0
74,145,114,0
75,147,116,0
76,149,118,0
77,151,120,0
78,153,122,0
79,155,124,0
80,157,126,0
81,159,128,0
82,161,130,0
83,163,132,0
84,165,134,0
85,167,136,0
86,169,138,0
87,171,140,0
88,173,142,0
89,175,144,0
90,177,146,0
91,179,148,0
92,181,150,0
93,183,152,0
94,185,154,0
95,187,156,0
96,189,158,0
97,191,159,0
98,193,160,0
99,195,161,0
100,197,162,0
