size,bcost,icost,scost,mcost,qcost,qcostm
2,1,1,1,1,1,1
3,4,1,3,3,2,2
4,9,4,6,5,5,4
5,16,8,10,8,8,6
6,25,7,15,10,9,8
7,36,9,21,13,11,14
8,49,17,28,16,16,13
9,64,19,36,18,18,16
10,81,28,45,24,22,19
11,100,23,55,28,28,22
12,121,34,66,30,35,27
13,144,40,78,32,32,28
14,169,58,91,38,53,33
15,196,55,105,41,59,37
16,225,58,120,48,46,41
17,256,61,136,51,64,46
18,289,67,153,58,61,47
19,324,95,171,54,60,51
20,361,113,190,60,82,56
21,400,96,210,70,85,58
22,441,122,231,74,76,67
23,484,129,253,77,107,76
24,529,158,276,86,88,70
25,576,165,300,89,86,79
26,625,151,325,89,111,79
27,676,182,351,93,109,84
28,729,224,378,103,98,89
29,784,196,406,110,118,100
30,841,179,435,110,167,105
31,900,263,465,113,139,110
32,961,238,496,125,144,115
33,1024,335,528,125,191,120
34,1089,298,561,131,141,117
35,1156,312,595,136,157,126
36,1225,317,630,146,157,127
37,1296,343,666,147,147,135
38,1369,407,703,158,158,138
39,1444,343,741,159,175,148
40,1521,439,780,167,173,144
41,1600,468,820,169,217,155
42,1681,501,861,181,229,154
43,1764,561,903,183,196,167
44,1849,519,946,191,186,168
45,1936,572,990,198,226,172
46,2025,402,1035,195,205,179
47,2116,591,1081,206,250,181
48,2209,626,1128,215,281,185
49,2304,632,1176,221,230,200
50,2401,609,1225,228,249,197
51,2500,688,1275,233,276,220
52,2601,720,1326,233,251,215
53,2704,710,1378,238,358,212
54,2809,701,1431,253,274,215
55,2916,865,1485,247,285,231
56,3025,661,1540,253,264,250
57,3136,835,1596,261,303,251
58,3249,705,1653,271,330,250
59,3364,803,1711,271,293,255
60,3481,963,1770,285,298,253
61,3600,944,1830,282,321,265
62,3721,966,1891,301,362,267
63,3844,963,1953,306,328,292
64,3969,1143,2016,305,356,278
65,4096,1017,2080,308,396,287
66,4225,1094,2145,321,420,293
67,4356,1090,2211,324,339,294
68,4489,1078,2278,331,361,298
69,4624,1110,2346,336,364,303
70,4761,1104,2415,348,365,314
71,4900,1340,2485,349,507,326
72,5041,1285,2556,369,431,322
73,5184,1374,2628,357,431,327
74,5329,1245,2701,367,533,337
75,5476,1336,2775,377,462,340
